correct	correct_response	count_exp_sequence	leksikalnost	rec	response	response_time	trial_number	naziv_fajla	exp_title	accuracy
1	1	20	rec	FILMSKOG	1	932	18	subject-3.csv	PRIDEVI_C	90.4761904762
1	3	21	pseudorec	BUŽNOM	3	831	174	subject-3.csv	PRIDEVI_C	90.9090909091
1	3	22	pseudorec	SUVANOM	3	609	142	subject-3.csv	PRIDEVI_C	91.3043478261
1	3	23	pseudorec	FRKENOJ	3	508	206	subject-3.csv	PRIDEVI_C	91.6666666667
1	3	24	pseudorec	TEZIVOG	3	656	123	subject-3.csv	PRIDEVI_C	92
1	1	25	rec	NISKOJ	1	567	53	subject-3.csv	PRIDEVI_C	92.3076923077
1	1	26	rec	KULTURNOG	1	698	30	subject-3.csv	PRIDEVI_C	92.5925925926
1	3	27	pseudorec	VELITOJ	3	647	189	subject-3.csv	PRIDEVI_C	92.8571428571
1	1	28	rec	RANJENOJ	1	915	71	subject-3.csv	PRIDEVI_C	93.1034482759
1	3	29	pseudorec	NELAHOJ	3	732	186	subject-3.csv	PRIDEVI_C	93.3333333333
1	3	30	pseudorec	SOROKOG	3	680	107	subject-3.csv	PRIDEVI_C	93.5483870968
1	1	31	rec	SMRTNOM	1	875	82	subject-3.csv	PRIDEVI_C	93.75
1	1	32	rec	NEČUJNOM	1	607	46	subject-3.csv	PRIDEVI_C	93.9393939394
1	1	33	rec	MOĆNOG	1	505	39	subject-3.csv	PRIDEVI_C	94.1176470588
1	1	34	rec	SVETSKOG	1	550	90	subject-3.csv	PRIDEVI_C	94.2857142857
1	3	35	pseudorec	VEDNOJ	3	802	185	subject-3.csv	PRIDEVI_C	94.4444444444
1	3	36	pseudorec	ČILKOM	3	575	155	subject-3.csv	PRIDEVI_C	94.5945945946
1	3	37	pseudorec	LASIVOM	3	690	157	subject-3.csv	PRIDEVI_C	94.7368421053
1	3	38	pseudorec	PITOROM	3	613	166	subject-3.csv	PRIDEVI_C	94.8717948718
1	3	39	pseudorec	PUMNOG	3	616	132	subject-3.csv	PRIDEVI_C	95
1	1	40	rec	ZIMSKOM	1	772	103	subject-3.csv	PRIDEVI_C	95.1219512195
1	3	41	pseudorec	PANANOM	3	697	146	subject-3.csv	PRIDEVI_C	95.2380952381
1	1	42	rec	DAVNOG	1	732	12	subject-3.csv	PRIDEVI_C	95.3488372093
1	1	43	rec	GRADSKOM	1	508	22	subject-3.csv	PRIDEVI_C	95.4545454545
1	3	44	pseudorec	DILAVOG	3	577	135	subject-3.csv	PRIDEVI_C	95.5555555556
1	3	45	pseudorec	FORKOJ	3	529	183	subject-3.csv	PRIDEVI_C	95.652173913
1	1	46	rec	ZLOG	1	705	102	subject-3.csv	PRIDEVI_C	95.7446808511
1	1	47	rec	MUZIČKOM	1	484	43	subject-3.csv	PRIDEVI_C	95.8333333333
1	1	48	rec	POVOLJNOG	1	531	63	subject-3.csv	PRIDEVI_C	95.9183673469
1	1	49	rec	ZNAČAJNOM	1	786	106	subject-3.csv	PRIDEVI_C	96
1	1	50	rec	UMORNOJ	1	643	95	subject-3.csv	PRIDEVI_C	96.0784313725
1	3	51	pseudorec	FLARATOJ	3	654	203	subject-3.csv	PRIDEVI_C	96.1538461538
1	1	52	rec	KONKRETNOG	1	828	27	subject-3.csv	PRIDEVI_C	96.2264150943
1	3	53	pseudorec	LATNOG	3	729	134	subject-3.csv	PRIDEVI_C	96.2962962963
1	3	54	pseudorec	SUDAVOM	3	743	161	subject-3.csv	PRIDEVI_C	96.3636363636
1	3	55	pseudorec	LARUTOG	3	663	114	subject-3.csv	PRIDEVI_C	96.4285714286
1	1	56	rec	SUROVOJ	1	652	89	subject-3.csv	PRIDEVI_C	96.4912280702
1	3	57	pseudorec	GUJAFOJ	3	570	211	subject-3.csv	PRIDEVI_C	96.5517241379
1	1	58	rec	KUĆNOJ	1	510	29	subject-3.csv	PRIDEVI_C	96.6101694915
1	1	59	rec	SJAJNOG	1	594	78	subject-3.csv	PRIDEVI_C	96.6666666667
1	1	60	rec	MEKOM	1	479	37	subject-3.csv	PRIDEVI_C	96.7213114754
1	1	61	rec	PRIRODNOG	1	595	66	subject-3.csv	PRIDEVI_C	96.7741935484
1	3	62	pseudorec	TILBINOJ	3	488	210	subject-3.csv	PRIDEVI_C	96.8253968254
1	1	63	rec	POZNATOM	1	521	64	subject-3.csv	PRIDEVI_C	96.875
1	1	64	rec	KRATKOM	1	454	28	subject-3.csv	PRIDEVI_C	96.9230769231
1	3	65	pseudorec	CUSNOJ	3	612	178	subject-3.csv	PRIDEVI_C	96.9696969697
1	3	66	pseudorec	RILEMOG	3	746	113	subject-3.csv	PRIDEVI_C	97.0149253731
1	3	67	pseudorec	ZEGENOJ	3	564	207	subject-3.csv	PRIDEVI_C	97.0588235294
1	1	68	rec	TAČNOM	1	497	91	subject-3.csv	PRIDEVI_C	97.1014492754
1	3	69	pseudorec	BUTOJ	3	476	209	subject-3.csv	PRIDEVI_C	97.1428571429
1	1	70	rec	BUDNOJ	1	692	5	subject-3.csv	PRIDEVI_C	97.1830985915
1	3	71	pseudorec	HUPENOJ	3	606	179	subject-3.csv	PRIDEVI_C	97.2222222222
1	1	72	rec	DNEVNOJ	1	579	14	subject-3.csv	PRIDEVI_C	97.2602739726
1	3	73	pseudorec	RELENOG	3	633	136	subject-3.csv	PRIDEVI_C	97.2972972973
1	3	74	pseudorec	LAPANOJ	3	599	197	subject-3.csv	PRIDEVI_C	97.3333333333
1	1	75	rec	LJUDSKOM	1	525	34	subject-3.csv	PRIDEVI_C	97.3684210526
1	3	76	pseudorec	SULNOM	3	634	150	subject-3.csv	PRIDEVI_C	97.4025974026
1	3	77	pseudorec	FUKAVOJ	3	602	187	subject-3.csv	PRIDEVI_C	97.4358974359
1	1	78	rec	OBIČNOM	1	631	55	subject-3.csv	PRIDEVI_C	97.4683544304
1	1	79	rec	UPORNOG	1	687	96	subject-3.csv	PRIDEVI_C	97.5
1	1	80	rec	REDOVNOM	1	595	73	subject-3.csv	PRIDEVI_C	97.5308641975
1	1	81	rec	NEVIDLJIVOM	1	695	49	subject-3.csv	PRIDEVI_C	97.5609756098
1	1	82	rec	STRUČNOG	1	515	87	subject-3.csv	PRIDEVI_C	97.5903614458
1	3	83	pseudorec	RIGONOG	3	617	128	subject-3.csv	PRIDEVI_C	97.619047619
1	3	84	pseudorec	TOLANOG	3	627	111	subject-3.csv	PRIDEVI_C	97.6470588235
1	3	85	pseudorec	DUMAVOG	3	577	109	subject-3.csv	PRIDEVI_C	97.6744186047
1	1	86	rec	NEZNANOM	1	649	52	subject-3.csv	PRIDEVI_C	97.7011494253
1	3	87	pseudorec	UHTIVOJ	3	466	190	subject-3.csv	PRIDEVI_C	97.7272727273
1	3	88	pseudorec	KUJANOG	3	644	127	subject-3.csv	PRIDEVI_C	97.7528089888
1	3	89	pseudorec	NISJOJ	3	467	191	subject-3.csv	PRIDEVI_C	97.7777777778
1	1	90	rec	TEHNIČKOG	1	562	93	subject-3.csv	PRIDEVI_C	97.8021978022
1	3	91	pseudorec	LOKAVOG	3	836	115	subject-3.csv	PRIDEVI_C	97.8260869565
1	1	92	rec	ČVRSTOJ	1	649	11	subject-3.csv	PRIDEVI_C	97.8494623656
1	3	93	pseudorec	LURIVOG	3	548	116	subject-3.csv	PRIDEVI_C	97.8723404255
1	1	94	rec	OTVORENOM	1	829	58	subject-3.csv	PRIDEVI_C	97.8947368421
1	3	95	pseudorec	SAŽNOJ	3	769	180	subject-3.csv	PRIDEVI_C	97.9166666667
1	1	96	rec	ČELIČNOM	1	763	7	subject-3.csv	PRIDEVI_C	97.9381443299
1	3	97	pseudorec	MISANOG	3	724	108	subject-3.csv	PRIDEVI_C	97.9591836735
1	3	98	pseudorec	URTIVOJ	3	522	199	subject-3.csv	PRIDEVI_C	97.9797979798
1	1	99	rec	ZLATNOG	1	737	105	subject-3.csv	PRIDEVI_C	98
