acc,accuracy,auto_log,average_response_time,avg_rt,background,canvas_backend,compensation,coordinates,correct,correct__mouse_response,correct_response,count_Pocetak_vezbe,count__mouse_response,count_exp_logger,count_exp_loop,count_experiment,count_ft_exp,count_kraj_eksperimenta,count_meta_exp,count_pocetak_eksperimenta,count_prazan_ekran_exp,count_vezba_loop,count_vezba_sequence,cursor_x,cursor_y,description,font_bold,font_family,font_italic,font_size,foreground,height,ignore_missing,keyboard_backend,leksikalnost,mouse_backend,oblik,rec,red1,repeat_cycle,response,response_Pocetak_vezbe,response__mouse_response,response_time,response_time_Pocetak_vezbe,response_time__mouse_response,sampler_backend,start,subject_nr,subject_parity,synth_backend,time_Pocetak_vezbe,time__mouse_response,time_ft_exp,time_meta_exp,time_prazan_ekran_exp,title,transparent_variables,trial_number,use_quotes,width
100,100,yes,896,896,black,xpyriment,0,relative,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-379,776,Logs experimental data,no,mono,no,40,grey,768,no,legacy,rec,xpyriment,OM,OČAJNOM,908,0,1,space,1,896,89788,896,legacy,experiment,1,odd,legacy,2148,93747,92743,93747,92239,PRIDEVI_A,no,908,no,1024
100,100,yes,730,730,black,xpyriment,0,relative,1,1,1,0,1,1,0,0,1,0,1,0,1,0,1,-356,781,Logs experimental data,no,mono,no,40,grey,768,no,legacy,rec,xpyriment,OG,NOVOG,907,0,1,space,1,564,89788,564,legacy,experiment,1,odd,legacy,2148,96415,95408,96414,94903,PRIDEVI_A,no,907,no,1024
100,100,yes,747,747,black,xpyriment,0,relative,1,1,3,0,2,2,0,0,2,0,2,0,2,0,2,-356,781,Logs experimental data,no,mono,no,40,grey,768,no,legacy,pseudorec,xpyriment,OM,IČAPNOM,918,0,3,space,3,783,89788,783,legacy,experiment,1,odd,legacy,2148,98740,97736,98739,97232,PRIDEVI_A,no,918,no,1024
100,100,yes,683,683,black,xpyriment,0,relative,1,1,1,0,3,3,0,0,3,0,3,0,3,0,3,-356,781,Logs experimental data,no,mono,no,40,grey,768,no,legacy,rec,xpyriment,OJ,DALEKOJ,909,0,1,space,1,490,89788,490,legacy,experiment,1,odd,legacy,2148,101329,100326,101329,99822,PRIDEVI_A,no,909,no,1024
100,100,yes,680,680,black,xpyriment,0,relative,1,1,3,0,4,4,0,0,4,0,4,0,4,0,4,-356,781,Logs experimental data,no,mono,no,40,grey,768,no,legacy,pseudorec,xpyriment,OG,HOLOG,917,0,3,space,3,670,89788,670,legacy,experiment,1,odd,legacy,2148,103629,102625,103629,102122,PRIDEVI_A,no,917,no,1024
100,100,yes,690,690,black,xpyriment,0,relative,1,1,3,0,5,5,0,0,5,0,5,0,5,0,5,234,-51,Logs experimental data,no,mono,no,40,grey,768,no,legacy,pseudorec,xpyriment,OG,CANOG,914,0,3,space,3,738,89788,738,legacy,experiment,1,odd,legacy,2148,106113,105109,106113,104606,PRIDEVI_A,no,914,no,1024
100,100,yes,688,688,black,xpyriment,0,relative,1,1,1,0,6,6,0,0,6,0,6,0,6,0,6,283,-49,Logs experimental data,no,mono,no,40,grey,768,no,legacy,rec,xpyriment,OM,DOBROM,902,0,1,space,1,675,89788,675,legacy,experiment,1,odd,legacy,2148,108608,107604,108608,107100,PRIDEVI_A,no,902,no,1024
100,100,yes,699,699,black,xpyriment,0,relative,1,1,1,0,7,7,0,0,7,0,7,0,7,0,7,283,-49,Logs experimental data,no,mono,no,40,grey,768,no,legacy,rec,xpyriment,OJ,LEVOJ,903,0,1,space,1,779,89788,779,legacy,experiment,1,odd,legacy,2148,111040,110036,111039,109532,PRIDEVI_A,no,903,no,1024
100,100,yes,704,704,black,xpyriment,0,relative,1,1,3,0,8,8,0,0,8,0,8,0,8,0,8,283,-49,Logs experimental data,no,mono,no,40,grey,768,no,legacy,pseudorec,xpyriment,OG,ALZOG,911,0,3,space,3,741,89788,741,legacy,experiment,1,odd,legacy,2148,113574,112570,113574,112066,PRIDEVI_A,no,911,no,1024
100,100,yes,734,734,black,xpyriment,0,relative,1,1,3,0,9,9,0,0,9,0,9,0,9,0,9,283,-49,Logs experimental data,no,mono,no,40,grey,768,no,legacy,pseudorec,xpyriment,OM,GOBNOM,920,0,3,space,3,1004,89788,1004,legacy,experiment,1,odd,legacy,2148,116071,115067,116071,114563,PRIDEVI_A,no,920,no,1024
100,100,yes,728,728,black,xpyriment,0,relative,1,1,1,0,10,10,0,0,10,0,10,0,10,0,10,-448,-101,Logs experimental data,no,mono,no,40,grey,768,no,legacy,rec,xpyriment,OG,ISTOG,901,0,1,space,1,675,89788,675,legacy,experiment,1,odd,legacy,2148,118832,117827,118832,117323,PRIDEVI_A,no,901,no,1024
100,100,yes,718,718,black,xpyriment,0,relative,1,1,3,0,11,11,0,0,11,0,11,0,11,0,11,-286,694,Logs experimental data,no,mono,no,40,grey,768,no,legacy,pseudorec,xpyriment,OJ,MAJETOJ,919,0,3,space,3,609,89788,609,legacy,experiment,1,odd,legacy,2148,121266,120262,121266,119757,PRIDEVI_A,no,919,no,1024
100,100,yes,717,717,black,xpyriment,0,relative,1,1,1,0,12,12,0,0,12,0,12,0,12,0,12,-306,626,Logs experimental data,no,mono,no,40,grey,768,no,legacy,rec,xpyriment,OM,MRTVOM,905,0,1,space,1,697,89788,697,legacy,experiment,1,odd,legacy,2148,123633,122629,123633,122125,PRIDEVI_A,no,905,no,1024
100,100,yes,708,708,black,xpyriment,0,relative,1,1,3,0,13,13,0,0,13,0,13,0,13,0,13,-303,629,Logs experimental data,no,mono,no,40,grey,768,no,legacy,pseudorec,xpyriment,OJ,ČAROTNOJ,916,0,3,space,3,597,89788,597,legacy,experiment,1,odd,legacy,2148,126118,125114,126118,124610,PRIDEVI_A,no,916,no,1024
100,100,yes,711,711,black,xpyriment,0,relative,1,1,3,0,14,14,0,0,14,0,14,0,14,0,14,-302,629,Logs experimental data,no,mono,no,40,grey,768,no,legacy,pseudorec,xpyriment,OM,SRMTOM,915,0,3,space,3,749,89788,749,legacy,experiment,1,odd,legacy,2148,128478,127474,128478,126970,PRIDEVI_A,no,915,no,1024
100,100,yes,702,702,black,xpyriment,0,relative,1,1,3,0,15,15,0,0,15,0,15,0,15,0,15,-302,629,Logs experimental data,no,mono,no,40,grey,768,no,legacy,pseudorec,xpyriment,OM,LORTOM,912,0,3,space,3,567,89788,567,legacy,experiment,1,odd,legacy,2148,130980,129976,130980,129472,PRIDEVI_A,no,912,no,1024
100,100,yes,698,698,black,xpyriment,0,relative,1,1,1,0,16,16,0,0,16,0,16,0,16,0,16,-304,653,Logs experimental data,no,mono,no,40,grey,768,no,legacy,rec,xpyriment,OJ,NARODNOJ,906,0,1,space,1,632,89788,632,legacy,experiment,1,odd,legacy,2148,133307,132303,133307,131799,PRIDEVI_A,no,906,no,1024
