acc,accuracy,auto_log,average_response_time,avg_rt,background,canvas_backend,compensation,coordinates,correct,correct__mouse_response,correct_response,count_Pocetak_vezbe,count__mouse_response,count_exp_logger,count_exp_loop,count_experiment,count_ft_exp,count_kraj_eksperimenta,count_meta_exp,count_pocetak_eksperimenta,count_prazan_ekran_exp,count_vezba_loop,count_vezba_sequence,cursor_x,cursor_y,description,font_bold,font_family,font_italic,font_size,foreground,height,ignore_missing,keyboard_backend,leksikalnost,mouse_backend,oblik,rec,red1,repeat_cycle,response,response_Pocetak_vezbe,response__mouse_response,response_time,response_time_Pocetak_vezbe,response_time__mouse_response,sampler_backend,start,subject_nr,subject_parity,synth_backend,time_Pocetak_vezbe,time__mouse_response,time_ft_exp,time_meta_exp,time_prazan_ekran_exp,title,transparent_variables,trial_number,use_quotes,width
100,100,yes,792,792,black,xpyriment,0,relative,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,-445,652,Logs experimental data,no,mono,no,40,grey,768,no,legacy,pseudorec,xpyriment,OM,LORTOM,912,0,3,space,3,792,179652,792,legacy,experiment,3,odd,legacy,2068,183566,182562,183566,182058,PRIDEVI_C,no,912,no,1024
50,50,yes,711,711,black,xpyriment,0,relative,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,-445,652,Logs experimental data,no,mono,no,40,grey,768,no,legacy,rec,xpyriment,OJ,DALEKOJ,909,0,3,space,3,631,179652,631,legacy,experiment,3,odd,legacy,2068,186215,185211,186215,184706,PRIDEVI_C,no,909,no,1024
66.6666666667,66.6666666667,yes,669,669,black,xpyriment,0,relative,1,1,3,0,2,2,0,0,2,0,2,0,2,0,2,-445,652,Logs experimental data,no,mono,no,40,grey,768,no,legacy,pseudorec,xpyriment,OG,HOLOG,917,0,3,space,3,585,179652,585,legacy,experiment,3,odd,legacy,2068,188605,187601,188605,187096,PRIDEVI_C,no,917,no,1024
75,75,yes,715,715,black,xpyriment,0,relative,1,1,3,0,3,3,0,0,3,0,3,0,3,0,3,-445,652,Logs experimental data,no,mono,no,40,grey,768,no,legacy,pseudorec,xpyriment,OG,ALZOG,911,0,3,space,3,852,179652,852,legacy,experiment,3,odd,legacy,2068,190962,189958,190962,189454,PRIDEVI_C,no,911,no,1024
80,80,yes,731,731,black,xpyriment,0,relative,1,1,1,0,4,4,0,0,4,0,4,0,4,0,4,-417,659,Logs experimental data,no,mono,no,40,grey,768,no,legacy,rec,xpyriment,OM,SOČNOM,910,0,1,space,1,796,179652,796,legacy,experiment,3,odd,legacy,2068,193658,192654,193658,192150,PRIDEVI_C,no,910,no,1024
83.3333333333,83.3333333333,yes,720,720,black,xpyriment,0,relative,1,1,3,0,5,5,0,0,5,0,5,0,5,0,5,-413,661,Logs experimental data,no,mono,no,40,grey,768,no,legacy,pseudorec,xpyriment,OJ,MAJETOJ,919,0,3,space,3,664,179652,664,legacy,experiment,3,odd,legacy,2068,196214,195210,196214,194706,PRIDEVI_C,no,919,no,1024
85.7142857143,85.7142857143,yes,740,740,black,xpyriment,0,relative,1,1,3,0,6,6,0,0,6,0,6,0,6,0,6,-413,661,Logs experimental data,no,mono,no,40,grey,768,no,legacy,pseudorec,xpyriment,OM,GOBNOM,920,0,3,space,3,866,179652,866,legacy,experiment,3,odd,legacy,2068,198636,197631,198636,197126,PRIDEVI_C,no,920,no,1024
87.5,87.5,yes,711,711,black,xpyriment,0,relative,1,1,3,0,7,7,0,0,7,0,7,0,7,0,7,-413,661,Logs experimental data,no,mono,no,40,grey,768,no,legacy,pseudorec,xpyriment,OJ,HENOJ,913,0,3,space,3,504,179652,504,legacy,experiment,3,odd,legacy,2068,201262,200258,201261,199754,PRIDEVI_C,no,913,no,1024
88.8888888889,88.8888888889,yes,695,695,black,xpyriment,0,relative,1,1,3,0,8,8,0,0,8,0,8,0,8,0,8,-413,661,Logs experimental data,no,mono,no,40,grey,768,no,legacy,pseudorec,xpyriment,OM,IČAPNOM,918,0,3,space,3,570,179652,570,legacy,experiment,3,odd,legacy,2068,203524,202520,203524,202016,PRIDEVI_C,no,918,no,1024
90,90,yes,689,689,black,xpyriment,0,relative,1,1,3,0,9,9,0,0,9,0,9,0,9,0,9,-413,661,Logs experimental data,no,mono,no,40,grey,768,no,legacy,pseudorec,xpyriment,OJ,ČAROTNOJ,916,0,3,space,3,639,179652,639,legacy,experiment,3,odd,legacy,2068,205855,204851,205855,204347,PRIDEVI_C,no,916,no,1024
90.9090909091,90.9090909091,yes,671,671,black,xpyriment,0,relative,1,1,1,0,10,10,0,0,10,0,10,0,10,0,10,-412,662,Logs experimental data,no,mono,no,40,grey,768,no,legacy,rec,xpyriment,OM,DOBROM,902,0,1,space,1,487,179652,487,legacy,experiment,3,odd,legacy,2068,208279,207275,208279,206771,PRIDEVI_C,no,902,no,1024
91.6666666667,91.6666666667,yes,660,660,black,xpyriment,0,relative,1,1,1,0,11,11,0,0,11,0,11,0,11,0,11,-412,662,Logs experimental data,no,mono,no,40,grey,768,no,legacy,rec,xpyriment,OJ,LEVOJ,903,0,1,space,1,545,179652,545,legacy,experiment,3,odd,legacy,2068,210533,209529,210533,209025,PRIDEVI_C,no,903,no,1024
92.3076923077,92.3076923077,yes,650,650,black,xpyriment,0,relative,1,1,1,0,12,12,0,0,12,0,12,0,12,0,12,-412,662,Logs experimental data,no,mono,no,40,grey,768,no,legacy,rec,xpyriment,OG,NOVOG,907,0,1,space,1,523,179652,523,legacy,experiment,3,odd,legacy,2068,212835,211831,212835,211327,PRIDEVI_C,no,907,no,1024
92.8571428571,92.8571428571,yes,644,644,black,xpyriment,0,relative,1,1,1,0,13,13,0,0,13,0,13,0,13,0,13,-412,662,Logs experimental data,no,mono,no,40,grey,768,no,legacy,rec,xpyriment,OG,MALOG,904,0,1,space,1,574,179652,574,legacy,experiment,3,odd,legacy,2068,215120,214116,215120,213612,PRIDEVI_C,no,904,no,1024
86.6666666667,86.6666666667,yes,646,646,black,xpyriment,0,relative,0,0,3,0,14,14,0,0,14,0,14,0,14,0,14,-412,662,Logs experimental data,no,mono,no,40,grey,768,no,legacy,pseudorec,xpyriment,OM,SRMTOM,915,0,1,space,1,673,179652,673,legacy,experiment,3,odd,legacy,2068,217453,216449,217453,215945,PRIDEVI_C,no,915,no,1024
87.5,87.5,yes,663,663,black,xpyriment,0,relative,1,1,1,0,15,15,0,0,15,0,15,0,15,0,15,-412,662,Logs experimental data,no,mono,no,40,grey,768,no,legacy,rec,xpyriment,OJ,NARODNOJ,906,0,1,space,1,917,179652,917,legacy,experiment,3,odd,legacy,2068,219905,218901,219905,218397,PRIDEVI_C,no,906,no,1024
88.2352941176,88.2352941176,yes,665,665,black,xpyriment,0,relative,1,1,1,0,16,16,0,0,16,0,16,0,16,0,16,-412,662,Logs experimental data,no,mono,no,40,grey,768,no,legacy,rec,xpyriment,OM,MRTVOM,905,0,1,space,1,689,179652,689,legacy,experiment,3,odd,legacy,2068,222637,221633,222637,221129,PRIDEVI_C,no,905,no,1024
88.8888888889,88.8888888889,yes,675,675,black,xpyriment,0,relative,1,1,1,0,17,17,0,0,17,0,17,0,17,0,17,-412,662,Logs experimental data,no,mono,no,40,grey,768,no,legacy,rec,xpyriment,OM,OČAJNOM,908,0,1,space,1,857,179652,857,legacy,experiment,3,odd,legacy,2068,225085,224081,225085,223577,PRIDEVI_C,no,908,no,1024
89.4736842105,89.4736842105,yes,670,670,black,xpyriment,0,relative,1,1,1,0,18,18,0,0,18,0,18,0,18,0,18,-412,662,Logs experimental data,no,mono,no,40,grey,768,no,legacy,rec,xpyriment,OG,ISTOG,901,0,1,space,1,571,179652,571,legacy,experiment,3,odd,legacy,2068,227699,226695,227699,226191,PRIDEVI_C,no,901,no,1024
90,90,yes,669,669,black,xpyriment,0,relative,1,1,3,0,19,19,0,0,19,0,19,0,19,0,19,-412,662,Logs experimental data,no,mono,no,40,grey,768,no,legacy,pseudorec,xpyriment,OG,CANOG,914,0,3,space,3,663,179652,663,legacy,experiment,3,odd,legacy,2068,230031,229027,230031,228523,PRIDEVI_C,no,914,no,1024
90.4761904762,90.4761904762,yes,682,682,black,xpyriment,0,relative,1,1,1,0,20,20,0,0,20,0,20,0,20,0,19,-404,668,Logs experimental data,no,mono,no,40,grey,768,no,legacy,rec,xpyriment,OG,FILMSKOG,18,0,1,space,1,932,179652,932,legacy,experiment,3,odd,legacy,2068,236578,235574,236578,235071,PRIDEVI_C,no,18,no,1024
90.9090909091,90.9090909091,yes,689,689,black,xpyriment,0,relative,1,1,3,0,21,21,0,0,21,0,21,0,21,0,19,-404,668,Logs experimental data,no,mono,no,40,grey,768,no,legacy,pseudorec,xpyriment,OM,BUŽNOM,174,0,3,space,3,831,179652,831,legacy,experiment,3,odd,legacy,2068,239271,238268,239271,237764,PRIDEVI_C,no,174,no,1024
91.3043478261,91.3043478261,yes,685,685,black,xpyriment,0,relative,1,1,3,0,22,22,0,0,22,0,22,0,22,0,19,-404,668,Logs experimental data,no,mono,no,40,grey,768,no,legacy,pseudorec,xpyriment,OM,SUVANOM,142,0,3,space,3,609,179652,609,legacy,experiment,3,odd,legacy,2068,241861,240857,241861,240354,PRIDEVI_C,no,142,no,1024
91.6666666667,91.6666666667,yes,678,678,black,xpyriment,0,relative,1,1,3,0,23,23,0,0,23,0,23,0,23,0,19,-404,668,Logs experimental data,no,mono,no,40,grey,768,no,legacy,pseudorec,xpyriment,OJ,FRKENOJ,206,0,3,space,3,508,179652,508,legacy,experiment,3,odd,legacy,2068,244226,243223,244226,242719,PRIDEVI_C,no,206,no,1024
92,92,yes,677,677,black,xpyriment,0,relative,1,1,3,0,24,24,0,0,24,0,24,0,24,0,19,-404,668,Logs experimental data,no,mono,no,40,grey,768,no,legacy,pseudorec,xpyriment,OG,TEZIVOG,123,0,3,space,3,656,179652,656,legacy,experiment,3,odd,legacy,2068,246494,245490,246494,244986,PRIDEVI_C,no,123,no,1024
92.3076923077,92.3076923077,yes,673,673,black,xpyriment,0,relative,1,1,1,0,25,25,0,0,25,0,25,0,25,0,19,-403,668,Logs experimental data,no,mono,no,40,grey,768,no,legacy,rec,xpyriment,OJ,NISKOJ,53,0,1,space,1,567,179652,567,legacy,experiment,3,odd,legacy,2068,248911,247907,248911,247402,PRIDEVI_C,no,53,no,1024
92.5925925926,92.5925925926,yes,674,674,black,xpyriment,0,relative,1,1,1,0,26,26,0,0,26,0,26,0,26,0,19,-403,668,Logs experimental data,no,mono,no,40,grey,768,no,legacy,rec,xpyriment,OG,KULTURNOG,30,0,1,space,1,698,179652,698,legacy,experiment,3,odd,legacy,2068,251236,250233,251236,249730,PRIDEVI_C,no,30,no,1024
